name1,name2,whole_adress,street2,phone,intake1,intake2,intake1a,intake2a,service_code_info,latitude,longitude
Lifeline Center for Child Development,NA,80-09 Winchester Boulevard Queens Village NY 11427,NA,718-740-4300,NA,NA,NA,NA,MH SUMH * OP PHDT * PH * RISPE ANTPYCH * AT CBT DBT GT IPT TELE * PEON * PVTN * MD SEF SMHA * TAY SED * STU * MST * TCC * SMON * CHLD YAD * VAPN * FPSY CM SPS ES,40.7276018,-73.737314
Queens Village Wellness and Recov Ctr,NA,80-45 Winchester Boulevard Queens Village NY 11427,Building 73,718-264-3950,NA,NA,NA,NA,SA MH SUMH * OP * OMH * HALOP ARIPI CLOZA OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT * STG * MC MD PI SF SI SMHA SWFS * CO SMI * STU * MST LABT * HS PEER * TCC * SMON * ADLT SNR YAD * SP FX * F17 * VAPN * AOT COOT DEC FPSY ICM PRS SEMP VRS CM IPC SPS,40.7276018,-73.737314
WellLife Network QNS ACT Team,NA,209-11 Jamaica Avenue Queens Village NY 11428,NA,718-313-1292 x6226,NA,NA,NA,NA,SA MH SUMH * OP * OMH * FLUPH HALOP PERPH NRT NSC ANTPYCH * CBT CFT GT IDD IPT * CIT * PVTN * MC MD * SE GL VET CO TRMA PTSD SMI * HS PEER * TCC * SMOP * ADLT SNR YAD * ACT DEC FPSY PRS SEMP VRS CM SPS ES,40.7276982,-73.7085883
Rensselaer County Department of,Mental Health,1641 3rd Street Rensselaer NY 12144,2nd Floor,518-463-8869,NA,NA,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * LCCG * CLF CMHG CSBG MC MD MI PI SF SI SMHA SWFS * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT DEC FPSY PRS VRS CM SPS,42.716005,-73.6935652
Family Services,NA,91-93 Montgomery Street Rhinebeck NY 12572,NA,845-486-2703 x8,845-485-9700,NA,NA,NA,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT DBT GT IPT TELE AIM * PVTN * MC MD MI PI SF SI * PA SS * CO * STU * MST LABT * TCC * ADLT SNR YAD * AH SP * VPPD * AOT FPSY SPS,41.936308,-73.915027
Catholic Charities Neighborhood Servs,Glendale Mental Health Clinic,67-29 Myrtle Avenue Ridgewood NY 11385,2nd Floor,718-456-7001,NA,NA,NA,NA,SA MH SUMH * OP * OMH * HALOP ARIPI ASENA CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ANTPYCH * CBT CFT GT IDD IPT TELE * CIT PEON PEOFF WI * PVTN * MC MD PI PCF SF SI * STU * TCC * SMON * ADLT CHLD SNR YAD * VAPN * SPS,40.7007955,-73.8944696
Family Service League Inc,The Freedom Project/ACT team,208 Roanoke Avenue Riverhead NY 11901,NA,631-284-2565 x2101,NA,NA,NA,NA,SA MH SUMH * OP * OMH * FLUPH HALOP PERPH ARIPI BREXP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT IDD IPT * PEOFF * PVTN * MHC * MD * CJ CO SMI * STU * TCC * SMON * ADLT SNR YAD * AH * VAPN * ACT COOT FPSY PRS SEMP VRS CM SPS,40.91830865,-72.66239932194051
Maryhaven Center of Hope Inc,Maryhaven PROS East,127 West Main Street Riverhead NY 11901,NA,631-727-4044 x203,NA,631-727-4044 x201,NA,NA,SA MH SUMH * OP * FLUPH HALOP ARIPI BREXP CARIP CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PVTN * CLF CMHG CSBG MC MD PI SF SI * TAY SE GL CJ CO TRMA PTSD SMI * STU * TCC * SMON * ADLT SNR YAD * VAPN * COOT DEC FPSY IMR PRS SEMP VRS,40.9170218321493,-72.66429203772962
Pilgrim Psychiatric Center,Peconic Center,550 East Main Street Riverhead NY 11901,Suite 103,631-369-1277,NA,NA,NA,NA,SA MH SUMH * OP * OMH * FLUPH HALOP PERPH THIOT ARIPI CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT GT IDD IPT TELE AIM * PEOFF * STG * MC MD PI * PA * CO SMI * STU * MST LABT * TCC * SMON * ADLT SNR YAD * AH * VAPN * AOT COOT VRS SPS,40.919907,-72.65556121087292
Hillside Childrens Center,Monroe Campus,Residential Treatment Facility Rochester NY 14620,1183 Monroe Avenue,585-256-7500,NA,NA,NA,NA,SA MH SUMH * RES * RTCC * CHLOR LOXAP PERPH ARIPI CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT CFT DBT GT IPT TELE AIM * CIT * PVTN * MD SF SMHA * SED * STU * MST LABT * TCC * SMON * CHLD * AH * VAPN * DEC FPSY CM SPS ES,NA,NA
Hillside Childrens Center Inc,Crestwood Campus,2075 Scottsville Road Rochester NY 14623,NA,585-429-2700,585-256-7500,NA,NA,NA,SA MH SUMH * RES * RTCC * CHLOR LOXAP PERPH ARIPI CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT CFT DBT GT IPT TELE AIM * CIT * PVTN * MD SF SMHA * SED * STU * MST LABT * TCC * SMON * CHLD * AH * VAPN * DEC FPSY CM SPS ES,43.1232717,-77.6453594
Liberty Resources Behav Health Clinic,NA,175 Winton Road North Rochester NY 14610,NA,585-410-3370,585-410-3370 x0,NA,NA,NA,MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT EMDR GT IPT TELE * PVTN * MC MD PI SF SI * STU * PEER * SMON * ADLT CHLD SNR YAD * AH * VAPN * DEC FPSY CM,43.14786925,-77.5546418225562
Rochester General Hospital,Inpatient Psychiatric Unit,1425 Portland Avenue Rochester NY 14621,NA,585-922-3880,NA,585-922-7333,NA,NA,MH SUMH * HI * IPSY * CHLOR DROPE FLUPH HALOP LOXAP PERPH THIOR ARIPI ASENA CLOZA ILOPE OLANZ OLANZF PALIP QUETI RISPE NRT NSC ANTPYCH * AT CBT DBT ECT GT IDD IPT AIM * CIT PEON WI * PVTN * MC MD MI PI SF SI SMHA VAF * SE GL VET ADM MF CJ CO HV TRMA PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * AOT CDM COOT DEC IMR CM IPC SPS,43.1915013,-77.5887262
Rochester Regional Health,Genesee Mental Health Center,224 Alexander Street Rochester NY 14607,NA,585-922-7770,NA,585-922-7799,NA,NA,MH SUMH * OP * CMHC * FLUPH ARIPI CLOZA OLANZ QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT * PVTN * CLF MC MD MI PI SF SI SMHA SWFS * SS * SMI * STU * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * COOT FPSY SPS,43.1490084,-77.5959792
Rochester Regional Health,Outpatient Mental Health,100 Pinewild Drive Rochester NY 14606,Suite 2-A,585-368-6700,585-922-9900,NA,NA,NA,MH SUMH * OP * OMH * FLUPH ARIPI CLOZA OLANZ QUETI RISPE NRT ANTPYCH * CBT CFT DBT GT IPT TELE * WI * PVTN * MC MD MI PI SF SI SWFS * SE CO TRMA PTSD SMI * STU * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * CDM COOT FPSY IMR SPS,43.1851984,-77.6883264
Rochester Regional Health,Rochester Mental Health Center,490 East Ridge Road Rochester NY 14621,NA,585-922-2500,585-922-9900,NA,NA,NA,MH SUMH * OP * OMH * FLUPH ARIPI CLOZA OLANZ QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IPT TELE * PVTN * CLF MC MD MI PI SF SI SMHA * CO * STU * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * COOT,43.1960297,-77.6051821
Rochester Rehabilitation Center,Mental Health Center,1000 Elmwood Avenue Rochester NY 14620,NA,585-271-2520,NA,NA,NA,NA,MH SUMH * OP * OMH * FLUPH HALOP LOXAP PERPH THIOT THIOR TRIFL ARIPI CLOZA OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT DBT GT IPT TELE * PVTN * MC MD PI SF * TAY SE GL VET MF CJ CO HV DV TRMA TBI PED PEFP PTSD SMI * STU * TCC * ADLT SNR YAD * AH * VPPD * AOT CDM COOT DEC FPSY PRS CM SPS,43.12558215,-77.61033883737306
Rochester Rehabilitation Center Inc,Ventures PROS Program,975 Elmwood Avenue Rochester NY 14620,NA,585-256-3430 x1022,585-256-3430 x1132,NA,NA,NA,SA MH SUMH * OP * OMH * IDD TELE * PVTN * MD OSF SF * CO SMI * STU * PEER * TCC * SMON * ADLT SNR YAD * VAPN * FPSY IMR SEMP VRS SPS,43.1247882,-77.6125782
Unity Hospital of Rochester,Outpatient 2,81 Lake Avenue Rochester NY 14608,2nd Floor,585-368-6900,585-922-9900,NA,NA,NA,MH SUMH * OP * OMH * HALOP ARIPI CLOZA OLANZ QUETI RISPE ANTPYCH * CBT CFT DBT GT IPT TELE * PVTN * MC MD PI SF SI * PA * CO TRMA PTSD * STU * SMON * ADLT SNR YAD * AH SP * VAPN * ACT COOT SPS,43.1658186,-77.6249759
Unity Hospital of Rochester,Psychiatric Inpatient Unit,89 Genesee Street Rochester NY 14611,NA,585-368-3600,585-368-3954,585-922-7333,NA,NA,MH SUMH * HI OP * IPSY * CHLOR DROPE FLUPH HALOP LOXAP PERPH THIOR ARIPI ASENA CLOZA ILOPE OLANZ OLANZF PALIP QUETI RISPE NRT NSC ANTPYCH * AT CBT DBT GT IDD IPT AIM * CIT PEOFF WI * PVTN * MC MD PI SF SI SMHA * SE GL VET ADM MF CJ CO HV TRMA PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * ACT AOT CDM COOT DEC IMR CM IPC SPS,43.148488,-77.6368381
Villa of Hope,RTF,3300 Dewey Avenue Rochester NY 14616,NA,585-865-1550,NA,585-581-4673,NA,NA,SA MH SUMH * OP RES * RTCC * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * PVTN * CLF MD SEF SMHA * GL CJ CO HV TRMA PED PTSD SED * STU * HIVT STDT TBS * SMON * CHLD * AH * VAPN * DEC FPSY CM SPS ES,43.217028,-77.64129
New Horizon Counseling Center,Park Inn HFA,11502 Ocean Promenade Street Rockaway Park NY 11694,NA,718-634-6081,NA,NA,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH THIOT TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * MC MD MI PI SF SI SMHA * SE GL VET MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SMI * STU * MST LABT * HS PEER * TCC * ADLT SNR YAD * SP * VPPD * AOT CDM COOT DEC FPSY ICM IMR PRS SEMP SH TPC VRS CM IPC SPS ES,NA,NA
Mercy Medical Center,Behavioral Healthcare Services,1000 North Village Avenue Rockville Centre NY 11570,NA,516-705-2525,516-705-3400,516-705-2248,NA,NA,MH SUMH * HI OP PHDT * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT ECT GT IDD IPT TELE * CIT PEON * PVTN * CLF CMHG CSBG ITU MC MD MI PI SF SI SMHA SWFS VAF * SE GL VET ADM MF CO HV DV TRMA TBI ALZ PED PEFP PTSD SMI * STU * MST LABT * TCC * SMON * ADLT SNR YAD * VAPN * CDM COOT DEC FPSY ICM IMR PRS CM IPC SPS,40.68716305,-73.6308877566128
Mohawk Valley Psychiatric Center,Rome Clinic,227 West Dominick Street Rome NY 13440,NA,315-336-6230,NA,NA,NA,NA,MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT AIM * WI * STG * CMHG MC MD PI SF SI SMHA * SE CJ CO TRMA PEFP PTSD SMI * STU * LABT * PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * AOT COOT FPSY SEMP VRS SPS ES,43.2118802,-75.46061084747703
Neighborhood Center Behavioral Health,Rome,195-199 West Dominick Street Rome NY 13440,NA,315-272-2730,NA,315-272-2748,NA,NA,MH SUMH * OP * OMH * NSC ANTPYCH * CBT CFT DBT EMDR GT IPT TELE AIM * CIT PEOFF WI * PVTN * CMHG CSBG MC MD MI PI PCF SF SI SMHA SWFS * PA SS * GL DV TRMA PTSD SED * STU * MST LABT * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY IMR PRS CM SPS,43.2226772,-75.4827447
Rome Memorial Hospital,Senior Behavioral Health Unit,1500 North James Street Rome NY 13440,2nd Floor,315-338-7170,315-338-7165,NA,NA,NA,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT GT IPT AIM * CIT PEON * PVTN * MC MD MI PI SF SI * SE GL VET MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD * STU * HIVT MST LABT * TCC * SMON * SNR * AH * VAPN * CDM COOT DEC ICM LAD CM SPS,43.2295488,-75.4421416
Syracuse VAMC,Rome Outpatient Clinic,125 Brookley Road Rome NY 13441,Building 510,315-334-7100,315-425-4400 x57110,315-425-3463,NA,NA,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE AIM * PEON * FED VAMC * MI VAF * VET CO PTSD SMI * STU * HS PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * COOT ICM LAD SEMP VRS IPC SPS ES,43.2123497,-75.4180685
North Shore Child and Family,Guidance Center,480 Old Westbury Road Roslyn Heights NY 11577,NA,516-626-1971 x316,516-626-1971 x0,NA,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH TRIFL ARIPI CLOZA LURAS OLANZ OLANZF QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE * CIT WI * PVTN * CLF CSBG MD PI SF SI SMHA * SS * TAY GL MF CJ CO TRMA PED PTSD SED SMI * STU * SMON * CHLD YAD * SP FX * F19 F67 F70 * VAPN * FPSY CM SPS ES,NA,NA
Elmira Psychiatric Center,Wayne Finger Lakes Day Treatment,4120 Baldwin Road Rushville NY 14544,NA,585-289-6292,607-795-2244,585-554-6492,NA,NA,MH SUMH * OP PHDT * PH * CFT GT IPT TELE AIM * STG * MC MD PI * SED * STU * MST * SMON * CHLD * AH * VAPN * FPSY PRS SPS ES,NA,NA
Cattaraugus County Community Services,Salamanca Counseling Center,117 1/2 Main Street Salamanca NY 14779,NA,716-945-5211,716-701-3335,716-373-8040,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP ARIPI BREXP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT DBT EMDR GT IDD IPT TELE AIM * CIT PEON PEOFF WI * LCCG * CLF ITU MC MD MI OSF PI SCJJ SF SI SWFS VAF * SS * CJ DV TRMA PEFP PTSD * STU * MST LABT * TCC * ADLT CHLD SNR YAD * AH * VPPD * AOT COOT FPSY IMR SPS,42.158949,-78.714776
Adirondack Medical Center,NA,2233 State Route 86 Saranac Lake NY 12983,NA,518-897-2871,518-897-2870,NA,NA,NA,MH * HI * IPSY * NRT NSC ANTPYCH * AT CBT GT IPT TELE AIM * CIT PEON WI * PVTN * FQHC * MC MD PI SF * PA SS * SE GL VET CO DV TRMA TBI ALZ PEFP PTSD * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * ADLT SNR * AH * VAPN * CDM COOT DEC FPSY LAD IPC SPS ES,NA,NA
Saratoga Hospital,Mental Health Unit,211 Church Street Saratoga Springs NY 12866,NA,518-583-8400,518-583-8405,NA,NA,NA,MH * HI * IPSY * CHLOR FLUPH HALOP PERPH PROCH THIOT ARIPI ASENA BREXP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IPT AIM * CIT WI * PVTN * MC MD MI PI SF SI VAF * CO TRMA PEFP PTSD SMI * STU * HIVT STDT TBS HBT HCT LABT * TCC * SMON * ADLT SNR YAD * AH * VAPN * CDM COOT DEC FPSY IMR CM IPC SPS,43.0869347,-73.79891635694347
Capital District Psychiatric Center,Schenectady Community Support Center,738 State Street Schenectady NY 12307,NA,518-374-3403,518-374-3403 x0,NA,NA,NA,MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH THIOR ARIPI CLOZA OLANZ PALIP RISPE ZIPRA NRT NSC ANTPYCH * CBT DBT EMDR GT IDD IPT AIM * STG * MC MD SI SMHA * SE GL CJ CO PTSD SMI * STU * TCC * SMON * ADLT SNR YAD * SP * VAPN * AOT COOT PRS SEMP VRS CM SPS,42.8090242,-73.93706842952693
Ellis Medicine,"Psych/Inpatient Units C-2, C-3 and B-3",1101 Nott Street Schenectady NY 12308,CC1779,518-243-4162,518-612-2154,518-243-4000,NA,NA,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP PERPH PIMOZ PROCH TRIFL ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CFT GT IPT * CIT PEON WI * PVTN * CLF MC MD MI OSF PI SF SI SMHA SWFS * TAY SE GL VET ADM MF CJ CO HV TRMA TBI PED PTSD SED SMI * STU * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH SP FX * F42 * VAPN * ACT COOT FPSY ICM LAD VRS CM IPC SPS,42.82021325,-73.91646093090648
Northeast Parent/Child Society,Behavioral Health Center,530 Franklin Street Schenectady NY 12305,NA,518-381-8911,NA,518-426-2687,NA,NA,MH SUMH * OP * OMH * HALOP ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE NSC ANTPYCH * AT CBT CFT GT IPT TELE * CIT PEOFF * PVTN * CLF MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF * TAY SE GL DV TRMA PED PTSD SED SMI * STU * ADLT CHLD YAD * AH * VPPD * COOT FPSY SPS,42.81284155,-73.93857927669981
Schoharie County Community,Mental Health Center,113 Park Place Schoharie NY 12157,NA,518-295-8336,NA,NA,NA,NA,MH SUMH * OP * OMH * FLUPH HALOP LOXAP PERPH PROCH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * LCCG * CLF MC MD MI OSF PI SF SI SWFS * TRMA * STU * PEER * TCC * ADLT CHLD SNR YAD * AH SP * VPPD * COOT FPSY ICM IMR CM SPS,42.6770612,-74.4860734
Schoharie County Community,Mental Health Ctr/Advocacy Services,113 Park Place Schoharie NY 12157,County Annex Building,518-295-8336,NA,NA,NA,NA,SA MH SUMH * OP * OMH * FLUPH HALOP LOXAP PERPH PROCH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * LCCG * CLF MC MD MI PI SF SI SMHA VAF * CJ CO TRMA * STU * TCC * ADLT CHLD SNR YAD * AH SP * VPPD * COOT FPSY ICM SH CM SPS,42.6770612,-74.4860734
Schoharie County Community,Mental Health Ctr/Non Inpatient Crisis,113 Park Place Schoharie NY 12157,County Annex Buliding,518-295-8336,NA,NA,NA,NA,SA MH SUMH * OP * CMHC * FLUPH HALOP LOXAP PERPH PROCH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * LCCG * CLF MC MD MI PI SF SMHA * CJ CO TRMA PTSD * STU * TCC * ADLT CHLD SNR YAD * AH SP * VPPD * COOT FPSY CM SPS,42.6770612,-74.4860734
Elmira Psychiatric Center,Seneca Ontario Community Services,12 North Park Street Seneca Falls NY 13148,2nd Floor,315-568-9412,315-568-9412 x255,NA,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH ARIPI OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT DBT GT IDD IPT AIM * WI * STG * CLF MC MD OSF PI SEF SF SI SMHA * SE CO TRMA PTSD SMI * STU * MST LABT * HS * TCC * SMOP * ADLT SNR YAD * AH * VAPN * COOT DEC FPSY IMR SEMP VRS SPS,42.9136563,-76.7961488
Elmira Psychiatric Center,Wayne Finger Lakes Day Trt/Shortsville,1506 State Route 21 Shortsville NY 14548,NA,585-289-9649,NA,607-795-2244,NA,NA,MH SUMH * OP PHDT * PH * ANTPYCH * CFT GT IPT TELE * STG * MC MD PI * SED * STU * SMON * CHLD * AH * VAPN * FPSY PRS SPS ES,NA,NA
New Horizon Counseling Center,Ozone Park CCBHC,108-19 Rockaway Boulevard South Ozone Park NY 11420,NA,718-845-2620,NA,NA,NA,NA,SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP LOXAP PERPH THIOR ARIPI BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT WI * PVTN * MC MD MI PI SF SI * SS * TAY SE GL VET ADM MF CJ CO HV TRMA PTSD SED SMI * STU * HS PEER * TCC * ADLT CHLD SNR YAD * SP FX * F35 * VPPD * COOT DEC FPSY PRS SEMP VRS CM IPC SPS ES,40.6763162,-73.8203286
Spectrum Health and Human Services,Springville Counseling Center,27 Franklin Street Springville NY 14141,NA,716-592-9301,716-539-5500,NA,NA,NA,SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT EMDR GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * ITU MC MD MI PI SCJJ SF SI * SS * SE GL CJ CO TRMA PTSD SED SMI * STU * MST HBT HCT LABT * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * AOT COOT DEC FPSY PRS VRS CM SPS,42.5096816,-78.66397831623085
Jewish Board of Family/Childrens Servs,Morris L Black Counseling Ctr,1765 South Avenue Staten Island NY 10314,NA,718-761-9800,844-663-2255,NA,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH ARIPI OLANZ PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT * PVTN * CMHG MC MD PI SF SI SMHA SWFS * SS * TAY SE GL CO DV TRMA PED PTSD SED SMI * STU * PEER * SMOP * ADLT CHLD SNR YAD * AH SP FX * F17 F35 F70 * VAPP * AOT COOT FPSY PRS CM SPS,40.630309,-74.166402
Richmond University Medical Center,Center for Integrated Behav Medical,1130 South Avenue Staten Island NY 10314,NA,718-818-5777,718-818-6132,NA,NA,NA,SA MH SUMH * OP PHDT * OMH * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PEOFF * PVTN * CMHG MC MD PI SF SI SMHA * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SMI * STU * MST LABT * PEER * TCC * ADLT CHLD SNR YAD * AH SP FX * F17 F70 * VPPD * CDM DEC FPSY IMR VRS IPC SPS,40.612566650000005,-74.17668338121567
South Beach Psychiatric Center,Ocean View Lodge Clinic,777 Seaview Avenue Staten Island NY 10305,"Building 10, 2nd Floor",718-667-2663,718-667-2463,718-667-2536,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH THIOT TRIFL ARIPI ASENA BREXP CLOZA LURAS OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CRT CFT DBT GT IDD IPT AIM * STG * MC MD PI SF SMHA * SS * CO SMI * STU * TCC * SMON * ADLT SNR YAD * SP FX * F17 F66 F81 * VAPN * CDM COOT PRS VRS CM SPS,40.58349035,-74.08278576776883
South Beach Psychiatric Center,South Richmond ACT Team,777 Seaview Avenue Staten Island NY 10305,"Building 11, 2nd Floor",718-668-8050,NA,NA,NA,NA,SA MH SUMH * HI OP PHDT RES * PSY * ANTPYCH * AT CBT CFT DBT GT IDD IPT * PEOFF * STG * CMHG MC MD PI PCF SI SMHA * SE CO HV TRMA TBI PEFP SMI * SMON * ADLT SNR YAD * VAPN * ACT,40.58349035,-74.08278576776883
South Beach Psychiatric Center,South Richmond Outpatient Clinic,777 Seaview Avenue Staten Island NY 10305,Building 10,718-667-2855,NA,NA,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH THIOR TRIFL ARIPI ASENA CLOZA OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CRT CFT DBT GT IDD IPT TELE AIM * WI * STG * FQHC * MC MD MI OSF PI SF SI SMHA SWFS * PA SS * TAY SE GL VET CJ CO DV TRMA PEFP PTSD SMI * STU * PEER * TCC * SMON * ADLT SNR YAD * VAPN * AOT COOT PRS VRS SPS,40.58349035,-74.08278576776883
Staten Island Mental Health,A Div of Richmond University Med Ctr,444 Saint Marks Place Staten Island NY 10301,NA,718-442-2225,718-442-2225 x263,718-442-2225 x103,NA,NA,MH SUMH * OP * CMHC * CHLOR PERPH ARIPI LURAS OLANZ QUETI RISPE ANTPYCH * AT CBT CFT DBT EMDR GT IPT TELE * PEOFF * PVTN * FQHC * MD PI SF * SS * TRMA PTSD SED * STU * SMON * CHLD YAD * AH SP * VAPN * FPSY SPS,40.6387898,-74.0773662
SVWSJMC,Harvey Tompkins Residence,1150 Castleton Avenue Staten Island NY 10310,NA,718-876-2810,NA,718-982-4740,NA,NA,MH SUMH * RES * RTCA * AT GT IPT * CIT * PVTN * MC MD PI SF SMHA VAF * PA * SE CO PTSD * STU * HS PEER * TCC * ADLT SNR * VPPD * DEC FPSY LAD PRS SEMP SH VRS SPS ES,40.6340741,-74.1207867
